,Type,Total,Destroyed,Damaged,Abandoned,Captured
1,Tanks,736,491,63,52,130
2,Armoured Fighting Vehicles,350,250,11,8,81
3,Infantry Fighting Vehicles,837,614,50,59,114
4,Armoured Personnel Carriers,393,245,25,30,93
5,Mine-Resistant Ambush Protected (MRAP) Vehicles,199,143,28,17,11
6,Infantry Mobility Vehicles,404,249,34,6,115
7,Command Posts And Communications Stations,18,14,0,0,4
8,Engineering Vehicles And Equipment,138,84,21,7,26
9,Self-Propelled Anti-Tank Missile Systems,21,8,0,1,12
10,Artillery Support Vehicles And Equipment,24,11,0,0,13
11,Towed Artillery,183,99,64,2,18
12,Self-Propelled Artillery,280,195,62,0,23
13,Multiple Rocket Launchers,52,35,9,0,8
14,0,0,0,0,0,0
15,Self-Propelled Anti-Aircraft Guns,10,5,1,1,3
16,Surface-To-Air Missile Systems,133,110,16,1,6
17,Radars And Communications Equipment,87,64,11,1,11
18,0,0,0,0,0,0
19,Aircraft,79,77,1,0,1
20,Helicopters,37,33,1,0,3
21,Unmanned Combat Aerial Vehicles,26,26,0,0,0
22,Reconnaissance Unmanned Aerial Vehicles,231,149,1,0,81
23,Naval Ships,28,9,2,0,17
24,"Trucks, Vehicles, and Jeeps",804,589,20,13,182
